TrackerID,FMSID,Title,Summary,CurrentPhase,DesignPercentComplete,ProcurementPercentComplete,ConstructionPercentComplete,DesignStart,DesignProjectedCompletion,DesignAdjustedCompletion,DesignActualCompletion,ProcurementStart,ProcurementProjectedCompletion,ProcurementAdjustedCompletion,ProcurementActualCompletion,ConstructionStart,ConstructionProjectedCompletion,ConstructionAdjustedCompletion,ConstructionActualCompletion,TotalFunding,ProjectLiaison,LastUpdated,FundingSource,name,ParkID,Latitude,Longitude,Borough
"9,354",846 SANDY4-27,Little Bay Park Waterfront Reconstruction,This project will reconstruct the waterfront Parks infrastructure damaged by Hurricane Sandy at Little Bay Park.,design,30,0,0,01/01/2020 12:00:00 AM,01/01/2022 12:00:00 AM,,,,,,,,,,,Between $1 million and $3 million,Joanne Amagrande,12/20/2021 12:00:00 AM,"Mayoral, Federal",Between Totten Avenue and Throgs Neck Bridge,Q010A,40.790336730184,-73.786364629106,Queens
"6,074",846 P-407LBSF,Little Bay Park Soccer Fields Reconstruction,This project will reconstruct the natural turf soccer fields at Little Bay Park.,completed,100,100,100,04/01/2014 12:00:00 AM,10/01/2014 12:00:00 AM,04/01/2015 12:00:00 AM,04/01/2015 12:00:00 AM,04/01/2015 12:00:00 AM,01/01/2016 12:00:00 AM,,12/01/2015 12:00:00 AM,04/01/2016 12:00:00 AM,04/01/2017 12:00:00 AM,,05/01/2017 12:00:00 AM,"$1,460,000",Joanne Amagrande,12/20/2021 12:00:00 AM,City Council,Little Bay and the Cross Island Parkway,Q010A,40.789194,-73.790171,Queens
"1,021",846 P-407LBCS,Little Bay Parking Lot Reconstruction and Comfort Station Construction,This project will construct a comfort station and reconstruct the parking lot at Little Bay Park.,completed,100,100,100,09/01/2005 12:00:00 AM,04/01/2012 12:00:00 AM,,05/01/2012 12:00:00 AM,05/01/2012 12:00:00 AM,02/01/2013 12:00:00 AM,,01/01/2013 12:00:00 AM,03/01/2013 12:00:00 AM,09/01/2014 12:00:00 AM,02/01/2016 12:00:00 AM,01/01/2016 12:00:00 AM,"$5,460,000",Joanne Amagrande,12/20/2021 12:00:00 AM,"Mayoral, City Council, Federal","Totten Avenue, Cross Island Parkway",Q010A,40.790041,-73.785101,Queens
"7,408",846 P-1CPILCM,Little Claremont Playground Reconstruction,This project will reconstruct Little Claremont Playground.,completed,100,100,100,01/01/2015 12:00:00 AM,12/01/2015 12:00:00 AM,,01/01/2016 12:00:00 AM,01/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,04/01/2017 12:00:00 AM,04/01/2017 12:00:00 AM,04/01/2017 12:00:00 AM,04/01/2018 12:00:00 AM,12/01/2018 12:00:00 AM,12/01/2018 12:00:00 AM,"$3,192,000",Michelle Martell,12/20/2021 12:00:00 AM,Mayoral,Park Avenue and Claremont Parkway,X299,40.838748,-73.903735,Bronx
"1,202,111",846 P-3LGTURF,Little Flower Playground Synthetic Turf Field Construction,This project will construct a synthetic turf field at Little Flower Playground.,completed,100,100,100,04/01/2019 12:00:00 AM,12/01/2019 12:00:00 AM,,12/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM,12/01/2019 12:00:00 AM,,11/01/2019 12:00:00 AM,03/01/2020 12:00:00 AM,06/01/2020 12:00:00 AM,09/01/2020 12:00:00 AM,09/01/2020 12:00:00 AM,"$531,000",Steve Simon,12/20/2021 12:00:00 AM,Mayoral,,M132,40.712491,-73.988193,Manhattan
"9,781",846 P-303LFPG,Little Flower Playground Reconstruction,"This project will reconstruct Little Flower Playground, including the play equipment, spray shower, sitting area, safety surfacing, pavements, plantings, drainage and water supply systems, and lighting.",design,35,0,0,03/01/2021 12:00:00 AM,03/01/2022 12:00:00 AM,,,,,,,,,,,Between $5 million and $10 million,Steve Simon,12/20/2021 12:00:00 AM,Mayoral,Madison Street and Jefferson Street,M132,40.712381,-73.988484,Manhattan
"8,548",846 SANDY1-10,Hammond Cove Marina Reconstruction (Hurricane Sandy),"This project will reconstruct Sandy-damaged elements of the bulkhead, docks, and electrical systems at Hammond Cove Marina.",design,30,0,0,01/01/2021 12:00:00 AM,07/01/2022 12:00:00 AM,,,,,,,,,,,Between $3 million and $5 million,Michelle Martell,12/20/2021 12:00:00 AM,"Mayoral, City Council, Federal",Reynolds Avenue at Harding Avenue,X310,40.814795,-73.806122,Bronx
"10,235",,Hammond Cove Shoreline Stabilization and Restoration,This project will construct stabilization features along the shoreline of Hammond Cove.,proposed,0,0,0,,,,,,,,,,,,,Between $1 million and $3 million,,12/20/2021 12:00:00 AM,Mayoral,"shoreline east of Pennyfield Avenue between Tierney Place and Chaffee Avenue
Portions of Block 5521 Lot 192
Portions of Block 5524 Lot 20
Portions of Block 5524 Lot 119
Portions of Block 5524 Lot 224
Portions of Block 5524 Lot 14",X310,40.81656,-73.805744,Bronx
"7,406",846 P-1CPILFG,Longfellow Gardens Reconstruction,"This project will reconstruct Longfellow Gardens, including new play equipment, spray shower, seating, lighting, fencing, pavements and planting.",completed,100,100,100,01/01/2015 12:00:00 AM,12/01/2015 12:00:00 AM,,08/01/2016 12:00:00 AM,08/01/2016 12:00:00 AM,05/01/2017 12:00:00 AM,10/01/2017 12:00:00 AM,10/01/2017 12:00:00 AM,10/01/2017 12:00:00 AM,10/01/2018 12:00:00 AM,,09/01/2018 12:00:00 AM,"$2,248,000",Michelle Martell,12/20/2021 12:00:00 AM,Mayoral,"Longfellow Avenue, Lowell Street, East 165th Street",X290,40.825559,-73.88758,Bronx
"8,814",846 P-5LILOPL,Lopez Playground Reconstruction,This project will reconstruct Lopez Playground.,completed,100,100,100,01/01/2018 12:00:00 AM,01/01/2019 12:00:00 AM,,01/01/2019 12:00:00 AM,01/01/2019 12:00:00 AM,10/01/2019 12:00:00 AM,01/01/2020 12:00:00 AM,12/01/2019 12:00:00 AM,03/01/2020 12:00:00 AM,05/01/2021 12:00:00 AM,07/01/2021 12:00:00 AM,05/01/2021 12:00:00 AM,"$3,037,000",Joseph Homsey,12/20/2021 12:00:00 AM,"Mayoral, City Council",Palma Drive between Targee Street and Oder Avenue,R125,40.611487,-74.085054,Staten Island
"9,442",846 P-501LLCS,Lopez Playground Modular Comfort Station Construction,This project will construct a modular comfort station at Lopez Playground.,procurement,100,40,0,11/01/2019 12:00:00 AM,11/01/2020 12:00:00 AM,06/01/2021 12:00:00 AM,06/01/2021 12:00:00 AM,06/01/2021 12:00:00 AM,02/01/2022 12:00:00 AM,02/01/2022 12:00:00 AM,,,,,,Between $3 million and $5 million,Joseph Homsey,12/20/2021 12:00:00 AM,Mayoral,Palma Drive between Targee Street and Oder Avenue,R125,40.611645,-74.084934,Staten Island
"7,285",846 P-111LRTO,Loreto Playground Asphalt Multi-Purpose Play Area Construction,This project will construct an expanded asphalt multi-purpose play area in Loreto Playground.,construction,100,100,44,02/01/2018 12:00:00 AM,02/01/2019 12:00:00 AM,,02/01/2019 12:00:00 AM,02/01/2019 12:00:00 AM,11/01/2019 12:00:00 AM,12/01/2019 12:00:00 AM,11/01/2019 12:00:00 AM,09/01/2020 12:00:00 AM,09/01/2021 12:00:00 AM,,,"$2,000,000",Michelle Martell,12/20/2021 12:00:00 AM,"Mayoral, Borough President, State","Morris Park Avenue, Tomlinson Avenue, Haight Avenue, and Van Nest Avenue",X163,40.849058,-73.852119,Bronx
